file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,46,css,2d2963df,Miny-oung-K,2025-10-10,19:16:21,-07:00,2025-10-10T19:16:21-07:00,0,13
style.css,47,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,39
style.css,48,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,20
style.css,49,css,2d2963df,Miny-oung-K,2025-10-10,19:16:21,-07:00,2025-10-10T19:16:21-07:00,1,15
style.css,50,css,2d2963df,Miny-oung-K,2025-10-10,19:16:21,-07:00,2025-10-10T19:16:21-07:00,0,0
style.css,51,css,2d2963df,Miny-oung-K,2025-10-10,19:16:21,-07:00,2025-10-10T19:16:21-07:00,0,0
style.css,52,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,0,44
style.css,53,css,2d2963df,Miny-oung-K,2025-10-10,19:16:21,-07:00,2025-10-10T19:16:21-07:00,0,11
style.css,54,css,2d2963df,Miny-oung-K,2025-10-10,19:16:21,-07:00,2025-10-10T19:16:21-07:00,1,39
style.css,55,css,2d2963df,Miny-oung-K,2025-10-10,19:16:21,-07:00,2025-10-10T19:16:21-07:00,1,20
style.css,56,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,69
style.css,57,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,0
style.css,58,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,0
style.css,59,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,0,19
style.css,60,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,0,48
style.css,61,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,0
style.css,62,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,4
style.css,63,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,1,12
style.css,64,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,30
style.css,65,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,1,18
style.css,66,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,12
style.css,67,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,1,19
style.css,68,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,0
style.css,69,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,0
style.css,70,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,10
style.css,71,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,1,12
style.css,72,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,29
style.css,73,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,18
style.css,74,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,0
style.css,75,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,0
style.css,76,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,46
style.css,77,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,1,31
style.css,78,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,0
style.css,79,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,0
style.css,80,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,15
style.css,81,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,1,10
style.css,82,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,1,21
style.css,83,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,1,18
style.css,84,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,36
style.css,85,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,1,19
style.css,86,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,0
style.css,87,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,0
style.css,88,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,6
style.css,89,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,1,18
style.css,90,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,1,17
style.css,91,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,36
style.css,92,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,1,19
style.css,93,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,53
style.css,94,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,1,14
style.css,95,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,1,51
style.css,96,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,0
style.css,97,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,0,12
style.css,98,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,69
style.css,99,css,df690769,Miny-oung-K,2025-10-10,19:47:34,-07:00,2025-10-10T19:47:34-07:00,1,32
style.css,100,css,9d15af72,Miny-oung-K,2025-10-10,21:37:29,-07:00,2025-10-10T21:37:29-07:00,0,0
style.css,101,css,9d15af72,Miny-oung-K,2025-10-10,21:37:29,-07:00,2025-10-10T21:37:29-07:00,0,0
style.css,102,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,0,17
style.css,103,css,9d15af72,Miny-oung-K,2025-10-10,21:37:29,-07:00,2025-10-10T21:37:29-07:00,0,9
style.css,104,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,12
style.css,105,css,9d15af72,Miny-oung-K,2025-10-10,21:37:29,-07:00,2025-10-10T21:37:29-07:00,1,58
style.css,106,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,7
style.css,107,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,17
style.css,108,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,0,0
style.css,109,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,0,0
style.css,110,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,0,42
style.css,111,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,0,13
style.css,112,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,10
style.css,113,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,12
style.css,114,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,16
style.css,115,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,20
style.css,116,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,0,0
style.css,117,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,0,0
style.css,118,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,0,35
style.css,119,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,0,13
style.css,120,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,17
style.css,121,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,8
style.css,122,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,10
style.css,123,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,13
style.css,124,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,53
style.css,125,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,36
style.css,126,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,19
style.css,127,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,1,19
style.css,128,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,0,0
style.css,129,css,bb666765,Miny-oung-K,2025-10-17,16:33:37,-07:00,2025-10-17T16:33:37-07:00,0,43
style.css,130,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,0,0
style.css,131,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,0,9
style.css,132,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,1,12
style.css,133,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,1,36
style.css,134,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,1,14
style.css,135,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,1,17
style.css,136,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,0,0
style.css,137,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,0,0
style.css,138,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,0,12
style.css,139,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,1,10
style.css,140,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,1,15
style.css,141,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,0,0
style.css,142,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,0,0
style.css,143,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,0,12
style.css,144,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,1,10
style.css,145,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,1,8
style.css,146,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,0,0
